https://example.com/collocation-analysis
There are 1059379 different words in your collocation database for "fact". (Your query returned 801 matches in 259 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	ascertained	275	0.06	8	259	5.08
2	this	7342	1.58	48	259	2.92
3	in	24310	5.23	73	259	1.80
4	that	12039	2.59	36	259	1.80
5	i	7435	1.60	21	259	1.71
6	is	13304	2.86	29	259	1.34
7	be	10810	2.33	23	259	1.31
8	not	4709	1.01	10	259	1.30
9	which	10950	2.36	19	259	1.01
10	a	22082	4.75	30	259	0.66
11	by	11508	2.48	15	259	0.60
12	as	7927	1.71	10	259	0.55
13	was	8026	1.73	10	259	0.53
14	that	12039	2.59	15	259	0.53
15	this	7342	1.58	9	259	0.51
16	is	13304	2.86	16	259	0.48
17	to	24428	5.26	29	259	0.46
18	was	8026	1.73	9	259	0.38
19	the	97174	20.91	105	259	0.33
20	with	7836	1.69	8	259	0.25
21	which	10950	2.36	11	259	0.22
22	and	27381	5.89	26	259	0.14
23	be	10810	2.33	10	259	0.10
24	it	11933	2.57	11	259	0.10
25	to	24428	5.26	22	259	0.07
26	it	11933	2.57	9	259	-0.19
27	the	97174	20.91	70	259	-0.26
28	of	63632	13.69	45	259	-0.28
29	a	22082	4.75	14	259	-0.44
30	in	24310	5.23	13	259	-0.69
31	of	63632	13.69	34	259	-0.69
32	and	27381	5.89	13	259	-0.86
