No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,201,0.06,12,62,5.70
2,prove,175,0.05,8,74,5.31
3,ascertained,276,0.08,8,101,4.66
4,preceding,348,0.10,8,102,4.32
5,chemical,393,0.11,8,78,4.15
6,new,805,0.23,15,149,4.02
7,many,699,0.20,11,175,3.77
8,general,636,0.18,10,147,3.77
9,appear,518,0.15,8,163,3.75
10,these,2776,0.80,42,219,3.72
11,number,706,0.20,8,148,3.30
12,been,3373,0.97,28,234,2.85
13,have,5121,1.47,39,236,2.73
14,some,2032,0.58,14,227,2.58
15,all,1799,0.52,10,206,2.27
16,other,2469,0.71,12,228,2.08
17,are,4787,1.38,23,231,2.06
18,which,10751,3.09,49,238,1.99
19,that,11793,3.39,44,239,1.70
20,from,7315,2.10,26,243,1.63
21,were,2897,0.83,8,220,1.26
22,i,7459,2.15,20,241,1.22
23,may,3040,0.87,8,222,1.19
24,to,23955,6.89,56,254,1.02
25,are,4787,1.38,11,231,1.00
26,not,4673,1.34,10,230,0.90
27,with,7808,2.25,16,240,0.83
28,or,4442,1.28,9,239,0.82
29,by,11156,3.21,22,254,0.78
30,as,7863,2.26,14,241,0.63
31,the,93365,26.85,166,257,0.63
32,but,4586,1.32,8,241,0.60
33,it,11551,3.32,19,242,0.52
34,this,7207,2.07,11,241,0.41
35,in,23797,6.84,36,256,0.39
36,of,62455,17.96,90,257,0.32
37,to,23955,6.89,34,254,0.30
38,with,7808,2.25,11,240,0.29
39,by,11156,3.21,15,254,0.22
40,be,10574,3.04,14,246,0.20
41,and,26899,7.74,31,256,0.00
42,and,26899,7.74,28,256,-0.14
43,is,12523,3.60,12,247,-0.26
44,be,10574,3.04,10,246,-0.28
45,a,21616,6.22,19,258,-0.39
46,the,93365,26.85,79,257,-0.44
47,of,62455,17.96,41,257,-0.81
48,in,23797,6.84,10,256,-1.45
49,a,21616,6.22,9,258,-1.47
