No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,8252,1.00,56,243,3.80
2,i,9711,1.18,22,243,2.22
3,which,23268,2.83,40,243,1.82
4,from,18577,2.26,22,243,1.28
5,that,23235,2.82,27,243,1.26
6,as,22804,2.77,25,243,1.17
7,with,21259,2.58,22,243,1.09
8,with,21259,2.58,20,243,0.95
9,to,53765,6.54,48,243,0.88
10,to,53765,6.54,47,243,0.85
11,the,282634,34.36,216,243,0.65
12,in,71871,8.74,48,243,0.46
13,of,167252,20.33,82,243,0.01
14,the,282634,34.36,123,243,-0.16
15,and,72783,8.85,31,243,-0.19
16,of,167252,20.33,64,243,-0.35
17,and,72783,8.85,27,243,-0.39
