https://example.com/collocation-analysis
There are 2743924 different words in your collocation database for "facts". (Your query returned 1334 matches in 290 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	these	8292	1.27	85	272	4.06
2	been	6555	1.01	19	271	2.24
3	have	10810	1.66	31	280	2.22
4	from	18704	2.87	42	285	1.87
5	which	25476	3.91	54	284	1.79
6	i	12207	1.87	23	274	1.62
7	that	25798	3.96	45	284	1.51
8	are	16185	2.48	28	282	1.50
9	to	58936	9.04	81	287	1.16
10	as	22909	3.51	26	283	0.89
11	with	20869	3.20	22	286	0.78
12	by	25680	3.94	27	288	0.78
13	the	275326	42.24	268	289	0.67
14	by	25680	3.94	23	288	0.55
15	be	24311	3.73	21	284	0.49
16	in	71257	10.93	59	288	0.43
17	to	58936	9.04	46	287	0.35
18	of	169492	26.01	115	289	0.14
19	and	70715	10.85	36	289	-0.27
20	a	54588	8.38	26	285	-0.37
21	the	275326	42.24	128	289	-0.40
22	and	70715	10.85	31	289	-0.49
23	of	169492	26.01	70	289	-0.57
24	in	71257	10.93	28	288	-0.64
