No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,prove,221,0.05,10,71,5.57
2,stated,226,0.05,10,65,5.53
3,new,728,0.17,13,130,4.22
4,many,837,0.20,12,159,3.91
5,these,3136,0.75,37,189,3.63
6,some,2288,0.55,17,195,2.96
7,have,5766,1.38,36,207,2.71
8,been,3932,0.94,24,208,2.68
9,other,2829,0.68,16,200,2.57
10,are,5613,1.34,25,206,2.22
11,which,12570,3.00,44,211,1.87
12,that,13642,3.26,47,210,1.85
13,from,8393,2.01,25,213,1.64
14,i,8493,2.03,21,213,1.37
15,not,5677,1.36,11,202,1.02
16,with,9192,2.20,17,211,0.95
17,to,26792,6.40,48,220,0.91
18,or,5053,1.21,9,211,0.90
19,by,12058,2.88,21,224,0.87
20,it,13733,3.28,21,215,0.68
21,the,102682,24.53,151,229,0.62
22,in,25660,6.13,37,224,0.59
23,to,26792,6.40,38,220,0.57
24,this,8282,1.98,11,211,0.47
25,as,9132,2.18,12,213,0.46
26,and,29754,7.11,37,226,0.38
27,with,9192,2.20,11,211,0.32
28,of,69444,16.59,82,230,0.31
29,as,9132,2.18,10,213,0.20
30,be,12149,2.90,12,214,0.05
31,by,12058,2.88,11,224,-0.07
32,be,12149,2.90,11,214,-0.08
33,and,29754,7.11,23,226,-0.31
34,a,24612,5.88,19,230,-0.31
35,the,102682,24.53,77,229,-0.35
36,is,13636,3.26,10,218,-0.38
37,of,69444,16.59,38,230,-0.80
