No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,stated,298,0.06,10,112,5.50
2,new,505,0.09,10,156,4.74
3,many,679,0.13,10,188,4.31
4,following,1086,0.20,12,226,3.90
5,these,3491,0.65,36,274,3.80
6,some,2000,0.37,16,263,3.43
7,have,5490,1.02,30,293,2.88
8,i,8913,1.65,33,294,2.32
9,from,9506,1.76,34,308,2.27
10,which,11531,2.14,33,297,1.95
11,may,3504,0.65,10,280,1.95
12,been,3614,0.67,10,289,1.90
13,are,5985,1.11,16,299,1.85
14,were,3935,0.73,10,272,1.78
15,or,6100,1.13,14,285,1.63
16,that,13266,2.46,29,298,1.56
17,with,9870,1.83,14,311,0.94
18,be,11890,2.20,16,301,0.86
19,as,9688,1.79,13,303,0.86
20,to,30909,5.72,38,317,0.73
21,this,8201,1.52,10,297,0.72
22,by,13351,2.47,16,316,0.69
23,the,129921,24.06,152,320,0.66
24,of,76816,14.22,81,320,0.51
25,in,31200,5.78,29,319,0.33
26,and,35216,6.52,27,319,0.05
27,that,13266,2.46,10,298,0.03
28,by,13351,2.47,10,316,0.02
29,to,30909,5.72,23,317,0.01
30,a,26321,4.87,15,317,-0.38
31,the,129921,24.06,70,320,-0.46
32,of,76816,14.22,37,320,-0.62
33,and,35216,6.52,15,319,-0.80
