No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,this,8765,1.98,40,229,2.34
2,has,2676,0.60,11,229,2.19
3,in,26557,6.00,94,229,1.97
4,is,13952,3.15,43,229,1.77
5,very,3307,0.75,10,229,1.74
6,but,5649,1.28,16,229,1.65
7,that,13751,3.11,38,229,1.61
8,been,4001,0.90,10,229,1.47
9,not,5999,1.35,13,229,1.26
10,is,13952,3.15,30,229,1.25
11,a,25316,5.72,54,229,1.24
12,i,8987,2.03,19,229,1.23
13,as,9547,2.16,20,229,1.21
14,are,5819,1.31,10,229,0.93
15,but,5649,1.28,9,229,0.82
16,be,12674,2.86,20,229,0.80
17,to,28535,6.45,43,229,0.74
18,for,6026,1.36,9,229,0.73
19,was,9360,2.11,13,229,0.62
20,as,9547,2.16,13,229,0.59
21,which,12958,2.93,16,229,0.45
22,be,12674,2.86,15,229,0.39
23,it,13841,3.13,16,229,0.36
24,by,12373,2.79,14,229,0.32
25,that,13751,3.11,15,229,0.27
26,to,28535,6.45,28,229,0.12
27,the,107142,24.20,101,229,0.06
28,it,13841,3.13,13,229,0.06
29,a,25316,5.72,22,229,-0.06
30,the,107142,24.20,91,229,-0.09
31,which,12958,2.93,11,229,-0.09
32,and,29996,6.78,22,229,-0.30
33,of,69697,15.74,49,229,-0.36
34,in,26557,6.00,18,229,-0.41
35,of,69697,15.74,47,229,-0.42
36,and,29996,6.78,16,229,-0.76
