No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,owing,766,0.36,38,182,4.73
2,due,2155,1.01,79,240,4.30
3,that,36205,16.89,1249,257,4.21
4,lies,1228,0.57,31,170,3.76
5,view,1971,0.92,47,231,3.68
6,this,25138,11.73,178,256,1.92
7,in,108738,50.74,664,257,1.71
8,they,7326,3.42,43,248,1.65
9,by,34624,16.16,197,257,1.61
10,all,6833,3.19,35,253,1.46
11,there,7718,3.60,39,254,1.44
12,is,67000,31.26,317,257,1.34
13,only,7031,3.28,32,255,1.29
14,no,9581,4.47,41,256,1.20
15,it,27857,13.00,116,256,1.16
16,has,10601,4.95,43,256,1.12
17,the,395482,184.53,1397,258,0.92
18,these,10992,5.13,38,255,0.89
19,from,26962,12.58,92,257,0.87
20,to,78009,36.40,251,257,0.79
21,not,13940,6.50,43,255,0.72
22,is,67000,31.26,193,257,0.63
23,we,11631,5.43,32,241,0.56
24,be,28817,13.45,79,257,0.55
25,was,16464,7.68,43,253,0.48
26,not,13940,6.50,35,255,0.43
27,are,30976,14.45,73,256,0.34
28,have,12772,5.96,30,256,0.33
29,for,25813,12.04,59,257,0.29
30,it,27857,13.00,62,256,0.25
31,was,16464,7.68,36,253,0.23
32,which,25870,12.07,56,256,0.21
33,the,395482,184.53,840,258,0.19
34,in,108738,50.74,218,257,0.10
35,this,25138,11.73,50,256,0.09
36,as,30071,14.03,59,257,0.07
37,with,30159,14.07,59,257,0.07
38,be,28817,13.45,51,257,-0.08
39,and,110275,51.45,193,258,-0.09
40,a,89172,41.61,144,257,-0.21
41,are,30976,14.45,50,256,-0.21
42,for,25813,12.04,40,257,-0.27
43,a,89172,41.61,136,257,-0.29
44,of,223639,104.35,309,258,-0.43
45,as,30071,14.03,41,257,-0.45
46,of,223639,104.35,283,258,-0.56
47,with,30159,14.07,37,257,-0.61
48,on,28980,13.52,35,257,-0.63
49,to,78009,36.40,92,257,-0.66
50,on,28980,13.52,32,257,-0.76
51,by,34624,16.16,33,257,-0.97
52,that,36205,16.89,34,257,-0.99
53,and,110275,51.45,73,258,-1.50
