No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,8137,1.10,56,242,4.66
2,all,4992,0.68,19,243,3.81
3,which,21188,2.87,38,258,2.72
4,with,20213,2.74,23,255,2.07
5,the,271179,36.79,184,259,1.32
6,to,55447,7.52,37,258,1.30
7,of,154415,20.95,58,258,0.47
8,in,68741,9.33,25,259,0.42
9,and,67666,9.18,22,258,0.26
10,of,154415,20.95,27,258,-0.63
11,the,271179,36.79,42,259,-0.81
