No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,25728,10.68,337,278,3.98
2,in,74467,30.92,586,288,3.24
3,if,5611,2.33,28,258,2.59
4,this,16807,6.98,80,276,2.52
5,from,19259,8.00,66,286,2.04
6,is,40905,16.99,107,281,1.66
7,we,9999,4.15,23,260,1.47
8,by,27990,11.62,57,288,1.29
9,are,17852,7.41,35,278,1.24
10,is,40905,16.99,70,281,1.04
11,it,23023,9.56,37,279,0.95
12,the,286884,119.12,447,288,0.91
13,be,23394,9.71,35,283,0.85
14,for,15665,6.50,23,285,0.82
15,which,25459,10.57,35,282,0.73
16,as,23782,9.88,30,283,0.60
17,the,286884,119.12,347,288,0.54
18,a,59042,24.52,60,287,0.29
19,to,59056,24.52,58,285,0.24
20,to,59056,24.52,56,285,0.19
21,by,27990,11.62,24,288,0.05
22,a,59042,24.52,50,287,0.03
23,in,74467,30.92,61,288,-0.02
24,of,178219,74.00,95,288,-0.64
25,and,77047,31.99,37,288,-0.79
26,and,77047,31.99,23,288,-1.48
27,of,178219,74.00,53,288,-1.48
