No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,134,0.03,11,71,6.41
2,that,13765,3.32,78,290,2.55
3,this,8527,2.06,39,289,2.24
4,if,2799,0.68,12,241,2.15
5,is,15185,3.67,53,304,1.85
6,in,32843,7.93,114,312,1.84
7,but,5074,1.23,14,284,1.51
8,is,15185,3.67,41,304,1.48
9,which,12147,2.93,32,289,1.45
10,it,12529,3.03,32,289,1.40
11,a,27889,6.74,53,310,0.98
12,was,9092,2.20,15,271,0.77
13,as,10193,2.46,16,295,0.70
14,to,32456,7.84,49,311,0.64
15,by,13935,3.37,21,309,0.64
16,in,32843,7.93,44,312,0.47
17,from,9983,2.41,13,299,0.43
18,i,9307,2.25,12,289,0.42
19,be,12621,3.05,16,294,0.39
20,the,138189,33.38,172,313,0.37
21,from,9983,2.41,12,299,0.32
22,this,8527,2.06,10,289,0.28
23,by,13935,3.37,15,309,0.16
24,with,10470,2.53,11,305,0.12
25,be,12621,3.05,13,294,0.09
26,a,27889,6.74,28,310,0.06
27,which,12147,2.93,12,289,0.03
28,of,79781,19.27,75,313,-0.04
29,the,138189,33.38,129,313,-0.05
30,it,12529,3.03,11,289,-0.14
31,that,13765,3.32,12,290,-0.15
32,to,32456,7.84,25,311,-0.33
33,of,79781,19.27,51,313,-0.60
34,and,36650,8.85,20,312,-0.82
35,and,36650,8.85,19,312,-0.90
