No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,this,8842,1.61,39,221,2.59
2,has,2317,0.42,9,192,2.41
3,that,13350,2.44,44,225,2.17
4,is,13924,2.54,45,223,2.15
5,very,3118,0.57,10,204,2.13
6,in,26280,4.80,69,239,1.85
7,but,5540,1.01,12,219,1.57
8,i,9379,1.71,20,222,1.55
9,not,5772,1.05,10,210,1.25
10,is,13924,2.54,24,223,1.24
11,but,5540,1.01,9,219,1.15
12,for,6132,1.12,9,235,1.01
13,a,24657,4.50,36,238,1.00
14,as,9790,1.79,12,223,0.75
15,was,9438,1.72,11,220,0.67
16,this,8842,1.61,10,221,0.63
17,that,13350,2.44,15,225,0.62
18,to,29152,5.32,32,238,0.59
19,to,29152,5.32,32,238,0.59
20,a,24657,4.50,27,238,0.58
21,it,13962,2.55,15,226,0.56
22,be,12393,2.26,13,227,0.52
23,as,9790,1.79,10,223,0.48
24,it,13962,2.55,14,226,0.46
25,be,12393,2.26,12,227,0.41
26,by,11939,2.18,10,234,0.20
27,which,12007,2.19,10,226,0.19
28,in,26280,4.80,20,239,0.06
29,the,111297,20.32,80,243,-0.02
30,the,111297,20.32,63,243,-0.37
31,of,64530,11.78,36,243,-0.39
32,and,30451,5.56,15,242,-0.57
33,of,64530,11.78,28,243,-0.75
34,and,30451,5.56,12,242,-0.89
