No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,owing,633,0.28,37,133,5.06
2,due,1841,0.81,64,180,4.31
3,that,27481,12.06,858,190,4.15
4,view,1503,0.66,31,170,3.55
5,they,5676,2.49,42,187,2.08
6,this,18868,8.28,124,190,1.90
7,in,80047,35.14,492,191,1.81
8,is,50373,22.11,248,191,1.49
9,all,5181,2.27,25,188,1.46
10,by,25544,11.21,121,191,1.43
11,only,5485,2.41,25,188,1.38
12,there,5739,2.52,23,187,1.19
13,it,20843,9.15,83,189,1.18
14,the,293095,128.67,969,191,0.91
15,to,57473,25.23,187,191,0.89
16,has,8219,3.61,24,190,0.73
17,from,20439,8.97,59,190,0.72
18,be,22550,9.90,65,191,0.71
19,we,8073,3.54,23,177,0.70
20,not,10675,4.69,29,189,0.63
21,is,50373,22.11,133,191,0.59
22,was,12511,5.49,31,184,0.50
23,not,10675,4.69,26,189,0.47
24,it,20843,9.15,50,189,0.45
25,are,23317,10.24,52,190,0.34
26,the,293095,128.67,625,191,0.28
27,which,18952,8.32,35,189,0.07
28,be,22550,9.90,41,191,0.05
29,are,23317,10.24,42,190,0.04
30,for,20058,8.81,34,191,-0.05
31,and,82621,36.27,127,191,-0.19
32,in,80047,35.14,123,191,-0.19
33,a,65809,28.89,101,191,-0.19
34,for,20058,8.81,29,191,-0.28
35,as,21927,9.63,31,191,-0.31
36,with,22492,9.87,31,190,-0.35
37,this,18868,8.28,25,190,-0.41
38,to,57473,25.23,76,191,-0.41
39,on,20628,9.06,26,191,-0.48
40,of,165436,72.63,203,191,-0.52
41,a,65809,28.89,80,191,-0.53
42,that,27481,12.06,33,190,-0.55
43,with,22492,9.87,25,190,-0.66
44,as,21927,9.63,24,191,-0.68
45,of,165436,72.63,175,191,-0.73
46,and,82621,36.27,50,191,-1.54
