https://example.com/collocation-analysis
There are 2879848 different words in your collocation database for "fact". (Your query returned 5527 matches in 301 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	that	27183	12.92	345	300	2.74
2	this	16126	7.67	176	300	2.52
3	in	74868	35.59	635	300	2.16
4	being	5896	2.80	32	300	1.51
5	is	37661	17.90	199	300	1.47
6	has	5485	2.61	25	300	1.26
7	if	6091	2.90	26	300	1.17
8	we	9370	4.45	39	300	1.13
9	is	37661	17.90	155	300	1.11
10	no	6469	3.08	24	300	0.96
11	being	5896	2.80	21	300	0.91
12	been	6696	3.18	23	300	0.85
13	not	10262	4.88	34	300	0.80
14	which	26333	12.52	82	300	0.71
15	it	23824	11.33	71	300	0.65
16	from	19135	9.10	55	300	0.60
17	these	8430	4.01	24	300	0.58
18	but	9973	4.74	28	300	0.56
19	by	26959	12.82	74	300	0.53
20	i	12728	6.05	34	300	0.49
21	may	8053	3.83	21	300	0.46
22	it	23824	11.33	62	300	0.45
23	by	26959	12.82	65	300	0.34
24	the	288950	137.36	693	300	0.33
25	was	14517	6.90	32	300	0.21
26	a	57723	27.44	126	300	0.20
27	have	11144	5.30	24	300	0.18
28	have	11144	5.30	24	300	0.18
29	of	178385	84.80	373	300	0.14
30	to	61293	29.14	127	300	0.12
31	an	10145	4.82	21	300	0.12
32	was	14517	6.90	30	300	0.12
33	a	57723	27.44	119	300	0.12
34	to	61293	29.14	126	300	0.11
35	the	288950	137.36	580	300	0.08
36	for	14523	6.90	29	300	0.07
37	be	25591	12.17	51	300	0.07
38	this	16126	7.67	31	300	0.02
39	at	18848	8.96	36	300	0.01
40	as	24080	11.45	45	300	-0.03
41	in	74868	35.59	138	300	-0.04
42	are	16759	7.97	30	300	-0.09
43	that	27183	12.92	48	300	-0.11
44	with	21392	10.17	37	300	-0.14
45	which	26333	12.52	45	300	-0.15
46	be	25591	12.17	43	300	-0.18
47	and	74455	35.39	125	300	-0.18
48	are	16759	7.97	28	300	-0.19
49	i	12728	6.05	21	300	-0.20
50	as	24080	11.45	38	300	-0.27
51	with	21392	10.17	30	300	-0.44
52	of	178385	84.80	179	300	-0.92
53	and	74455	35.39	48	300	-1.56
