https://example.com/collocation-analysis
There are 3236545 different words in your collocation database for "fact". (Your query returned 6758 matches in 277 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	due	1808	0.90	48	182	3.74
2	that	30186	15.04	741	269	3.62
3	this	21252	10.59	190	275	2.17
4	in	80896	40.32	567	277	1.81
5	by	26234	13.07	143	275	1.45
6	only	5756	2.87	30	256	1.39
7	from	19472	9.70	90	275	1.21
8	is	49787	24.81	224	276	1.17
9	they	6439	3.21	28	262	1.13
10	if	5624	2.80	24	227	1.10
11	when	6879	3.43	29	241	1.08
12	has	7145	3.56	30	257	1.07
13	all	5693	2.84	23	258	1.02
14	no	6406	3.19	23	252	0.85
15	these	9742	4.86	33	259	0.76
16	to	65738	32.76	215	277	0.71
17	more	7151	3.56	23	262	0.69
18	the	322630	160.79	1009	277	0.65
19	not	11273	5.62	35	266	0.64
20	i	10921	5.44	33	252	0.60
21	is	49787	24.81	148	276	0.58
22	it	23912	11.92	68	274	0.51
23	but	12589	6.27	35	270	0.48
24	which	23898	11.91	65	276	0.45
25	be	23379	11.65	63	273	0.43
26	an	9652	4.81	26	269	0.43
27	we	12760	6.36	34	223	0.42
28	we	12760	6.36	34	223	0.42
29	it	23912	11.92	59	274	0.31
30	was	18788	9.36	45	267	0.26
31	have	12163	6.06	29	266	0.26
32	have	12163	6.06	29	266	0.26
33	in	80896	40.32	192	277	0.25
34	a	64606	32.20	149	276	0.21
35	was	18788	9.36	41	267	0.13
36	are	22218	11.07	48	273	0.12
37	by	26234	13.07	56	275	0.10
38	not	11273	5.62	24	266	0.09
39	the	322630	160.79	685	277	0.09
40	this	21252	10.59	45	275	0.09
41	for	15551	7.75	31	260	-0.00
42	are	22218	11.07	43	273	-0.04
43	a	64606	32.20	119	276	-0.11
44	of	177545	88.48	321	277	-0.14
45	which	23898	11.91	43	276	-0.15
46	as	27809	13.86	50	274	-0.15
47	to	65738	32.76	118	277	-0.15
48	with	24788	12.35	44	272	-0.17
49	as	27809	13.86	49	274	-0.18
50	be	23379	11.65	41	273	-0.18
51	with	24788	12.35	43	272	-0.20
52	and	83684	41.71	126	276	-0.40
53	on	25700	12.81	28	276	-0.87
54	on	25700	12.81	27	276	-0.92
55	of	177545	88.48	184	277	-0.94
56	that	30186	15.04	30	269	-1.00
57	and	83684	41.71	48	276	-1.80
