https://example.com/collocation-analysis
There are 3292142 different words in your collocation database for "fact". (Your query returned 3955 matches in 268 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	that	30375	14.87	640	260	4.43
2	in	83395	40.83	532	268	2.70
3	this	21344	10.45	131	266	2.65
4	by	26467	12.96	113	266	2.12
5	from	20606	10.09	78	266	1.95
6	they	6911	3.38	25	254	1.89
7	when	6635	3.25	24	239	1.89
8	the	328774	160.98	792	268	1.30
9	it	24679	12.08	52	265	1.11
10	is	50803	24.88	106	267	1.09
11	we	12786	6.26	24	217	0.94
12	to	66880	32.75	125	268	0.93
13	is	50803	24.88	80	267	0.69
14	in	83395	40.83	128	268	0.65
15	which	24849	12.17	38	267	0.64
16	are	22673	11.10	34	265	0.61
17	was	17088	8.37	25	258	0.58
18	the	328774	160.98	432	268	0.42
19	a	65539	32.09	85	267	0.41
20	with	25223	12.35	32	264	0.37
21	as	28185	13.80	31	265	0.17
22	by	26467	12.96	28	266	0.11
23	a	65539	32.09	68	267	0.08
24	to	66880	32.75	50	268	-0.39
25	of	182714	89.47	133	268	-0.43
26	and	85256	41.75	62	267	-0.43
27	of	182714	89.47	87	268	-1.04
