https://example.com/collocation-analysis
There are 2094649 different words in your collocation database for "facts". (Your query returned 1338 matches in 245 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	these	6428	1.22	71	230	3.86
2	have	8243	1.56	28	237	2.16
3	i	10405	1.97	35	232	2.15
4	been	5082	0.96	16	236	2.05
5	which	19717	3.74	62	241	2.05
6	from	14942	2.83	37	241	1.71
7	are	11487	2.18	26	238	1.58
8	that	19944	3.78	34	241	1.17
9	as	17886	3.39	26	239	0.94
10	to	45780	8.68	66	243	0.93
11	by	20163	3.82	28	243	0.87
12	the	212079	40.20	253	245	0.65
13	with	15942	3.02	19	242	0.65
14	to	45780	8.68	48	243	0.47
15	it	18212	3.45	19	239	0.46
16	by	20163	3.82	21	243	0.46
17	with	15942	3.02	16	242	0.40
18	in	54814	10.39	55	245	0.40
19	on	15012	2.85	15	244	0.40
20	of	127676	24.20	122	245	0.33
21	be	17996	3.41	15	240	0.14
22	and	54543	10.34	43	245	0.06
23	a	40111	7.60	31	242	0.03
24	and	54543	10.34	30	245	-0.46
25	the	212079	40.20	111	245	-0.53
26	in	54814	10.39	28	245	-0.57
27	of	127676	24.20	64	245	-0.60
28	a	40111	7.60	19	242	-0.68
