No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,11337,1.60,100,267,4.97
2,which,32385,4.57,49,270,2.42
3,are,27111,3.82,35,268,2.19
4,that,41704,5.88,39,270,1.73
5,the,432703,61.02,331,271,1.44
6,to,86660,12.22,54,271,1.14
7,of,242086,34.14,99,272,0.54
8,in,105572,14.89,39,271,0.39
9,and,103100,14.54,33,272,0.18
10,of,242086,34.14,54,272,-0.34
11,the,432703,61.02,76,271,-0.68
