author,date,identifier,keywords,language,og_url,pdf_download_link,pdf_link,publisher,subjects,title
Leonette Annan,2024-10-23,rsta20230326,"Newton International Fellowship,grants programme,Royal Society",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2023.0326,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2023.0326?download=true,/doi/epdf/10.1098/rsta.2023.0326,The Royal Society,"Newton International Fellowship,grants programme,Royal Society,analytical chemistry",Celebrating the 15th anniversary of the Royal Society Newton International Fellowship
J. M. Londono Monsalve and E. Kovalska and M. F. Craciun and M. R. Marsico,2024-10-23,rsta20230324,"recycled rubber,graphene-reinforced polymers,cyclic testing,Raman,FTIR",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2023.0324,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2023.0324?download=true,/doi/epdf/10.1098/rsta.2023.0324,The Royal Society,"recycled rubber,graphene-reinforced polymers,cyclic testing,Raman,FTIR,materials science,mechanical engineering,structural engineering",Graphene nanoplatelets on recycled rubber an experimental study of material properties and mechanical improvements
Javier Carrasco,2024-10-23,rsta20230313,"solid electrolytes,ionic transport mechanisms,ionic conductors,interfacial dynamics,ab initio modelling,machine learning in materials science",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2023.0313,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2023.0313?download=true,/doi/epdf/10.1098/rsta.2023.0313,The Royal Society,"solid electrolytes,ionic transport mechanisms,ionic conductors,interfacial dynamics,ab initio modelling,machine learning in materials science,chemical physics,computational chemistry,computer modelling and simulation,energy,materials science",A theoretical perspective on solid-state ionic interfaces
Alexander Nepomnyashchy and Anna Samoilova,2023-4-17,10.1098/rsta.2022.0091,"pattern formation,nonlinear dynamics,extended systems",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2022.0091,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2022.0091?download=true,/doi/epdf/10.1098/rsta.2022.0091,The Royal Society,"pattern formation,nonlinear dynamics,extended systems,fluid mechanics",Introduction to ‘New trends in pattern formation and nonlinear dynamics of extended systems’
James Bevan,2022-12-12,10.1098/rsta.2022.0003,"climate emergency,extreme weather,environment agency,adaptation,drought,cop",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2022.0003,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2022.0003?download=true,/doi/epdf/10.1098/rsta.2022.0003,The Royal Society,"climate emergency,extreme weather,environment agency,adaptation,drought,cop,atmospheric science,climatology,ecosystem,hydrology,meteorology,systems theory",Drought risk in the Anthropocene from the jaws of death to the waters of life
A. V. Pastor and H. Biemans and W. Franssen and D. Gerten and H. Hoff and F. Ludwig and P. Kabat,2022-12-12,10.1098/rsta.2021.0294,"freshwater planetary boundaries,environmental flow,water deficit,water abstraction,water stress index",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0294,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0294?download=true,/doi/epdf/10.1098/rsta.2021.0294,The Royal Society,"freshwater planetary boundaries,environmental flow,water deficit,water abstraction,water stress index,ecosystem,hydrology",Understanding the transgression of global and regional freshwater planetary boundaries
M. J. A. Smith and P. A. Cotterill and D. Nigro and W. J. Parnell and I. D. Abrahams,2022-11-28,10.1098/rsta.2021.0383,"acoustics,Helmholtz resonator,scattering,matched asymptotic expansions,multipole methods",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0383,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0383?download=true,/doi/epdf/10.1098/rsta.2021.0383,The Royal Society,"acoustics,Helmholtz resonator,scattering,matched asymptotic expansions,multipole methods,applied mathematics",Asymptotics of the meta-atom plane wave scattering by a single Helmholtz resonator
Leonid Slepyan and Alexander B. Movchan,2022-11-28,10.1098/rsta.2021.0381,"Floquet waves,dispersion,resonant wave,structured waveguide",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0381,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0381?download=true,/doi/epdf/10.1098/rsta.2021.0381,The Royal Society,"Floquet waves,dispersion,resonant wave,structured waveguide,energy,mechanics",An overview of elastic waveguides with dynamic sub-structures
T. K. Papathanasiou and E. Tsolakis and V. Spitas and A. B. Movchan,2022-11-28,10.1098/rsta.2022.0074,"modified Herschel-Quincke tube,fluid-borne noise,transmission loss,modulated waveguides,periodic structures",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2022.0074,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2022.0074?download=true,/doi/epdf/10.1098/rsta.2022.0074,The Royal Society,"modified Herschel-Quincke tube,fluid-borne noise,transmission loss,modulated waveguides,periodic structures,acoustics,applied mathematics,mathematical modelling,mechanical engineering,wave motion",The Herschel-Quincke tube with modulated branches
Gennady S. Mishuris and Alexander B. Movchan and Leonid I. Slepyan,2020-1-10,10.1098/rsta.2019.0313,"dynamic microstructure,wave equations,Green's functions,integral transforms,dispersion relations",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2019.0313,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2019.0313?download=true,/doi/epdf/10.1098/rsta.2019.0313,The Royal Society Publishing,"dynamic microstructure,wave equations,Green's functions,integral transforms,dispersion relations,materials science,mathematical modelling",Waves in elastic bodies with discrete and continuous dynamic microstructure
