author,date,identifier,keywords,language,og_url,pdf_download_link,pdf_link,publisher,subjects,title
Timothy I. Eglinton and Heather D. Graven and Peter A. Raymond and Susan E. Trumbore,2023-11-27,10.1098/rsta.2022.0209,"['radiocarbon (14C)', 'carbon cycle', 'climate change', 'Anthropocene', 'fossil fuels', 'bomb 14C']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2022.0209,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2022.0209?download=true,/doi/epdf/10.1098/rsta.2022.0209,The Royal Society,"['radiocarbon (14C)', 'carbon cycle', 'climate change', 'Anthropocene', 'fossil fuels', 'bomb 14C', 'atmospheric chemistry', 'atmospheric science', 'climatology', 'environmental chemistry', 'geochemistry']",A special issue preface Radiocarbon in the Anthropocene
Themistoklis P. Sapsis and Antoine Blanchard,2022-8-8,10.1098/rsta.2021.0197,"['optimal experimental design', 'data-driven modelling', 'Bayesian regression', 'optimal sampling', 'active learning']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0197,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0197?download=true,/doi/epdf/10.1098/rsta.2021.0197,The Royal Society,"['optimal experimental design', 'data-driven modelling', 'Bayesian regression', 'optimal sampling', 'active learning', 'applied mathematics', 'computational mathematics', 'computational mechanics', 'statistics']",Optimal criteria and their asymptotic form for data selection in data-driven reduced-order modelling with Gaussian process regression
Paul I. Palmer and Liang Feng and Mark F. Lunt and Robert J. Parker and Hartmut Bösch and Xin Lan and Alba Lorente and Tobias Borsdorff,2021-11-15,10.1098/rsta.2021.0106,"['atmospheric methane', 'satellite observations', 'inverse modelling', 'methane emissions', 'surface measurements']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0106,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0106?download=true,/doi/epdf/10.1098/rsta.2021.0106,The Royal Society,"['atmospheric methane', 'satellite observations', 'inverse modelling', 'methane emissions', 'surface measurements', 'atmospheric chemistry', 'atmospheric science', 'biogeochemistry']",The added value of satellite observations of methane forunderstanding the contemporary methane budget
Paul I. Palmer and Liang Feng and Mark F. Lunt and Robert J. Parker and Hartmut Bösch and Xin Lan and Alba Lorente and Tobias Borsdorff,2022-3-7,10.1098/rsta.2021.0421,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0421,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0421?download=true,/doi/epdf/10.1098/rsta.2021.0421,The Royal Society,"['atmospheric chemistry', 'atmospheric science', 'biogeochemistry']",Correction to ‘The added value of satellite observations of methane for understanding the contemporary methane budget’
Roberto Benzi and Ilaria Castaldi and Federico Toschi and Jeannot Trampert,2022-3-7,10.1098/rsta.2021.0074,"['turbulence', 'avalanche', 'intermittency']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0074,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0074?download=true,/doi/epdf/10.1098/rsta.2021.0074,The Royal Society,"['turbulence', 'avalanche', 'intermittency', 'complexity', 'fluid mechanics']",Self-similar properties of avalanche statistics in a simple turbulent model
John Panickacheril John and Diego A. Donzis and Katepalli R. Sreenivasan,2022-3-7,10.1098/rsta.2021.0089,"['decaying turbulence', 'scaling laws', 'universality', 'incompressible turbulence']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0089,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0089?download=true,/doi/epdf/10.1098/rsta.2021.0089,The Royal Society,"['decaying turbulence', 'scaling laws', 'universality', 'incompressible turbulence', 'fluid mechanics']",Laws of turbulence decay from direct numerical simulations
Jacob T. Shaw and Adil Shah and Han Yong and Grant Allen,2021-11-15,10.1098/rsta.2020.0450,"['methane', 'fluxes', 'UAVs', 'drones', 'emissions']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0450,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0450?download=true,/doi/epdf/10.1098/rsta.2020.0450,The Royal Society,"['methane', 'fluxes', 'UAVs', 'drones', 'emissions', 'atmospheric chemistry', 'atmospheric science', 'climatology']",Methods for quantifying methane emissions using unmanned aerial vehicles a review
Xin Lan and Euan G. Nisbet and Edward J. Dlugokencky and Sylvia E. Michel,2021-11-15,10.1098/rsta.2020.0440,"['methane', 'in situ observations', 'time series']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0440,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0440?download=true,/doi/epdf/10.1098/rsta.2020.0440,The Royal Society,"['methane', 'in situ observations', 'time series', 'atmospheric chemistry', 'biogeochemistry']",What do we know about the global methane budget Results from four decades of atmospheric CH4 observations and the way forward
Debra Wunch and Geoffrey C. Toon and Jean-François L. Blavier and Rebecca A. Washenfelder and Justus Notholt and Brian J. Connor and David W. T. Griffith and Vanessa Sherlock and Paul O. Wennberg,2011-5-28,10.1098/rsta.2010.0240,"['greenhouse gases', 'carbon cycle', 'Fourier transform spectrometry']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2010.0240,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2010.0240?download=true,/doi/epdf/10.1098/rsta.2010.0240,The Royal Society Publishing,"['greenhouse gases', 'carbon cycle', 'Fourier transform spectrometry', 'atmospheric science']",The Total Carbon Column Observing Network
Euan G. Nisbet and Edward J. Dlugokencky and Rebecca E. Fisher and James L. France and David Lowry and Martin R. Manning and Sylvia E. Michel and Nicola J. Warwick,2021-11-15,10.1098/rsta.2020.0457,"['atmospheric methane growth', 'nitrous oxide growth']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0457,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0457?download=true,/doi/epdf/10.1098/rsta.2020.0457,The Royal Society,"['atmospheric methane growth', 'nitrous oxide growth', 'atmospheric science', 'biogeochemistry']",Atmospheric methane and nitrous oxide challenges alongthe path to Net Zero
Haoyu Liu and Zhen Xu and Zhenyu Guo and Jingyu Feng and Haoran Li and Tong Qiu and Magdalena Titirici,2021-11-1,10.1098/rsta.2020.0340,"['life cycle analysis', 'hydrothermal carbonization', 'pyrolysis', 'sodium-ion batteries', 'hard carbon', 'sustainability']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0340,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0340?download=true,/doi/epdf/10.1098/rsta.2020.0340,The Royal Society,"['life cycle analysis', 'hydrothermal carbonization', 'pyrolysis', 'sodium-ion batteries', 'hard carbon', 'sustainability', 'biochemistry', 'chemical engineering', 'environmental chemistry', 'materials science']",A life cycle assessment of hard carbon anodes for sodium-ion batteries
P. Toumsri and W. Auppahad and S. Saknaphawuth and B. Pongtawornsakun and S. Kaowphong and D. Dechtrirat and J. Panpranot and L. Chuenchom,2021-11-1,10.1098/rsta.2020.0349,"['furfural', 'xylose', 'acid catalyst', 'mesoporous carbon', 'magnetic', 'soft-template self-assembly']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0349,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0349?download=true,/doi/epdf/10.1098/rsta.2020.0349,The Royal Society,"['furfural', 'xylose', 'acid catalyst', 'mesoporous carbon', 'magnetic', 'soft-template self-assembly', 'green chemistry', 'materials science']",Facile preparation protocol of magnetic mesoporous carbon acid catalysts via soft-template self-assembly method and their applications in conversion of xylose into furfural
M. Wouters and O. Aouane and M. Sega and J. Harting,2021-10-18,10.1098/rsta.2020.0399,"['thin films', 'capillary interactions', 'clusters', 'soft particles suspensions', 'lattice Boltzmann simulation']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0399,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0399?download=true,/doi/epdf/10.1098/rsta.2020.0399,The Royal Society Publishing,"['thin films', 'capillary interactions', 'clusters', 'soft particles suspensions', 'lattice Boltzmann simulation', 'computational physics', 'computer modelling and simulation', 'fluid mechanics']",Lattice Boltzmann simulations of drying suspensions of soft particles
Shigeru Kondo and Masakatsu Watanabe and Seita Miyazawa,2021-12-27,10.1098/rsta.2020.0274,"['zebrafish', 'Turing pattern', 'pigment cells', 'reaction–diffusion', 'KT model', 'evolution']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0274,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0274?download=true,/doi/epdf/10.1098/rsta.2020.0274,The Royal Society,"['zebrafish', 'Turing pattern', 'pigment cells', 'reaction–diffusion', 'KT model', 'evolution', 'biomechanics', 'biophysics', 'cellular biophysics']",Studies of Turing pattern formation in zebrafish skin
Andrew L. Krause and Eamonn A Gaffney and Philip K. Maini and Václav Klika,2021-12-27,10.1098/rsta.2020.0280,"['Turing instabilities', 'pattern formation', 'reaction-diffusion systems']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0280,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0280?download=true,/doi/epdf/10.1098/rsta.2020.0280,The Royal Society,"['Turing instabilities', 'pattern formation', 'reaction-diffusion systems', 'biomathematics', 'biophysics', 'chemical physics']",Introduction to ‘Recent progress and open frontiers in Turing’s theory of morphogenesis’
Robert A. Van Gorder,2021-12-27,10.1098/rsta.2021.0001,"['Turing patterns', 'Turing instability', 'reaction–diffusion systems', 'spatial heterogeneity']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2021.0001,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2021.0001?download=true,/doi/epdf/10.1098/rsta.2021.0001,The Royal Society,"['Turing patterns', 'Turing instability', 'reaction–diffusion systems', 'spatial heterogeneity', 'applied mathematics', 'differential equations', 'mathematical modelling', 'mathematical physics']",Pattern formation from spatially heterogeneous reaction–diffusion systems
C. Konow and M. Dolnik and I. R. Epstein,2021-12-27,10.1098/rsta.2020.0269,"['Turing patterns', 'morphogenesis', 'nonlinear chemical dynamics']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0269,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0269?download=true,/doi/epdf/10.1098/rsta.2020.0269,The Royal Society,"['Turing patterns', 'morphogenesis', 'nonlinear chemical dynamics', 'physical chemistry']",Insights from chemical systems into Turing-type morphogenesis
Frits Veerman and Moritz Mercker and Anna Marciniak-Czochra,2021-12-27,10.1098/rsta.2020.0278,"['pattern formation', 'evolution equations', 'reaction–diffusion', 'mechano-chemical models', 'far-from-equilibrium patterns']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0278,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0278?download=true,/doi/epdf/10.1098/rsta.2020.0278,The Royal Society,"['pattern formation', 'evolution equations', 'reaction–diffusion', 'mechano-chemical models', 'far-from-equilibrium patterns', 'applied mathematics', 'biomathematics', 'computational biology', 'differential equations']",Beyond Turing far-from-equilibrium patterns and mechano-chemical feedback
D. Gomez and S. Iyaniwura and F. Paquin-Lefebvre and M. J. Ward,2021-12-27,10.1098/rsta.2020.0276,"['bulk-membrane coupled system', 'quorum and diffusion sensing', 'bifurcation', 'Green’s function', 'synchrony', 'spikes']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2020.0276,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2020.0276?download=true,/doi/epdf/10.1098/rsta.2020.0276,The Royal Society,"['bulk-membrane coupled system', 'quorum and diffusion sensing', 'bifurcation', 'Green’s function', 'synchrony', 'spikes', 'applied mathematics']",Pattern forming systems coupling linear bulk diffusion to dynamically active membranes or cells
Mat Collins,2007-6-14,rsta20072068,"['climate change', 'prediction', 'uncertainty', 'probability']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2068,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2068?download=true,/doi/epdf/10.1098/rsta.2007.2068,The Royal SocietyLondon,"['climate change', 'prediction', 'uncertainty', 'probability']",Ensembles and probabilities a new era in the prediction of climate change
Adrian Constantin,2007-3-13,rsta20072001,"['water waves', 'governing equations', 'model equations']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2001,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2001?download=true,/doi/epdf/10.1098/rsta.2007.2001,The Royal SocietyLondon,"['water waves', 'governing equations', 'model equations']",Introduction some recent developments of nonlinear water wave theory
Robert M May,2007-2-1,rsta20061957,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2006.1957,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2006.1957?download=true,/doi/epdf/10.1098/rsta.2006.1957,The Royal SocietyLondon,[''],Preface
B.J McKeon and K.R Sreenivasan,2007-1-16,rsta20061952,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2006.1952,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2006.1952?download=true,/doi/epdf/10.1098/rsta.2006.1952,The Royal SocietyLondon,[''],Introduction scaling and structure in high Reynolds number wall-bounded flows
David A. King,2007-12-15,10.1098/rsta.2007.3001,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.3001,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.3001?download=true,/doi/epdf/10.1098/rsta.2007.3001,The Royal Society,[''],"Correction for King, Introduction energy for a sustainable future"
Charles R Farrar and Keith Worden,2006-12-12,rsta20061926,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2006.1926,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2006.1926?download=true,/doi/epdf/10.1098/rsta.2006.1926,The Royal SocietyLondon,[''],Preface
none,2007-12-15,10.1098/rsta.2007.3002,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.3002,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.3002?download=true,/doi/epdf/10.1098/rsta.2007.3002,The Royal Society,[''],Correction for Structural health monitoring
Michael Pepper,2007-11-7,rsta20072161,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2161,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2161?download=true,/doi/epdf/10.1098/rsta.2007.2161,The Royal SocietyLondon,[''],Editorial
T. D. Wilkinson and C. Henderson and D. Gil Leyva and R. Ghannam and W. A. Crossland,2006-12-15,10.1098/rsta.2006.2003,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2006.2003,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2006.2003?download=true,/doi/epdf/10.1098/rsta.2006.2003,The Royal Society,[''],"Correction for Wilkinson et al., Non-display applications and the next generation of liquid crystal over silicon technology"
Francis C. Moon and Preston D. Stiefel,2006-12-15,10.1098/rsta.2006.2002,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2006.2002,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2006.2002?download=true,/doi/epdf/10.1098/rsta.2006.2002,The Royal Society,[''],"Correction for Moon and Stiefel, Coexisting chaotic and periodic dynamics in clock escapements"
Robert J. Nicholls and Richard S. J. Toll,2006-12-15,10.1098/rsta.2006.2001,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2006.2001,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2006.2001?download=true,/doi/epdf/10.1098/rsta.2006.2001,The Royal Society,[''],"Correction for Nicholls and Tol, Impacts and responses to sea-level rise a global analysis of the SRES scenarios over the twenty-first century"
Robin J Nicholas and Alison Mainwood and Laurence Eaves,2007-11-19,rsta20072160,"['graphene', 'diamond', 'carbon nanotubes']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2160,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2160?download=true,/doi/epdf/10.1098/rsta.2007.2160,The Royal SocietyLondon,"['graphene', 'diamond', 'carbon nanotubes']",Introduction. Carbon-based electronics fundamentals and device applications
Marian Wiercigroch,2007-10-18,rsta20072121,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2121,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2121?download=true,/doi/epdf/10.1098/rsta.2007.2121,The Royal SocietyLondon,[''],Introduction. Experimental nonlinear dynamics of solids
E.K Sklyanin,2007-6-22,rsta20072053,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2053,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2053?download=true,/doi/epdf/10.1098/rsta.2007.2053,The Royal SocietyLondon,[''],Preface
Elbert E.N Macau and Celso Grebogi and Jürgen Kurths,2007-8-13,rsta20072120,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2120,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2120?download=true,/doi/epdf/10.1098/rsta.2007.2120,The Royal SocietyLondon,[''],Preface
Elbert E.N Macau and Celso Grebogi and Jürgen Kurths,2007-8-2,rsta20072119,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2119,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2119?download=true,/doi/epdf/10.1098/rsta.2007.2119,The Royal SocietyLondon,[''],Preface
Marian Wiercigroch,2007-11-5,rsta20072129,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2129,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2129?download=true,/doi/epdf/10.1098/rsta.2007.2129,The Royal SocietyLondon,[''],Introduction. Experimental nonlinear dynamics of fluids
Bharat Bhushan,2007-12-20,rsta20072162,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2162,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2162?download=true,/doi/epdf/10.1098/rsta.2007.2162,The Royal SocietyLondon,[''],Preface
John S Reid and Charles H.-T Wang and J. Michael T Thompson,2008-1-24,rsta20072196,"['James Clerk Maxwell', 'history of science', ""Saturn's rings"", 'colour science', 'electromagnetics', 'relativity']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2007.2196,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2007.2196?download=true,/doi/epdf/10.1098/rsta.2007.2196,The Royal SocietyLondon,"['James Clerk Maxwell', 'history of science', ""Saturn's rings"", 'colour science', 'electromagnetics', 'relativity']",James Clerk Maxwell 150 years on
Keith Briggs and Frank Kelly and Mike Smith,2008-3-6,rsta20080029,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0029,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0029?download=true,/doi/epdf/10.1098/rsta.2008.0029,The Royal SocietyLondon,[''],Preface
Peter B Key and Laurent Massoulié,2008-06-13,rsta20080021,"['welfare maximization', 'marginal congestion cost', 'transport control', 'overlays', 'multipath routing', 'congestion control']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0021,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0021?download=true,/doi/epdf/10.1098/rsta.2008.0021,The Royal SocietyLondon,"['welfare maximization', 'marginal congestion cost', 'transport control', 'overlays', 'multipath routing', 'congestion control']",Control of communication networks welfare maximization and multipath transfers
Keith Briggs,2008-3-6,rsta20080011,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0011,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0011?download=true,/doi/epdf/10.1098/rsta.2008.0011,The Royal SocietyLondon,[''],Discussion
Kelly H Zou and Aiyi Liu,2008-4-11,rsta20080046,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0046,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0046?download=true,/doi/epdf/10.1098/rsta.2008.0046,The Royal SocietyLondon,"['bioinformatics', 'medical computing']",Preface
Clarissa Valim and Maura Mezzetti and James Maguire and Margarita Urdaneta and David Wypij,2008-4-11,rsta20080044,"['vaccine', 'efficacy', 'generalized linear models', 'longitudinal analyses', 'generalized estimating equation', 'heterogeneity']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0044,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0044?download=true,/doi/epdf/10.1098/rsta.2008.0044,The Royal SocietyLondon,"['vaccine', 'efficacy', 'generalized linear models', 'longitudinal analyses', 'generalized estimating equation', 'heterogeneity', 'statistics']",Estimation of vaccine efficacy in a repeated measures study under heterogeneity of exposure or susceptibility to infection
Simon K Warfield and Kelly H Zou and William M Wells,2008-4-11,rsta20080040,"['segmentation', 'validation', 'expectation-maximization', 'magnetic resonance imaging', 'MRI', 'tumour']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0040,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0040?download=true,/doi/epdf/10.1098/rsta.2008.0040,The Royal SocietyLondon,"['segmentation', 'validation', 'expectation-maximization', 'magnetic resonance imaging', 'MRI', 'tumour', 'bioinformatics', 'medical computing']",Validation of image segmentation by estimating rater bias and variance
I Eames,2008-3-18,rsta20080028,"['dispersed flows', 'multiphase flows', 'contrast agents', 'surfactants', 'microelecromechanical systems', 'foams']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0028,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0028?download=true,/doi/epdf/10.1098/rsta.2008.0028,The Royal SocietyLondon,"['dispersed flows', 'multiphase flows', 'contrast agents', 'surfactants', 'microelecromechanical systems', 'foams']",Introduction
J. David Neelin and Ole Peters and Johnny W.-B Lin and Katrina Hales and Christopher E Holloway,2008-5-7,rsta20080056,"['atmospheric moist convection', 'precipitation', 'stochastic parametrization', 'climate models']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0056,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0056?download=true,/doi/epdf/10.1098/rsta.2008.0056,The Royal SocietyLondon,"['atmospheric moist convection', 'precipitation', 'stochastic parametrization', 'climate models', 'atmospheric science']",Rethinking convective quasi-equilibrium observational constraints for stochastic convective schemes in climate models
Adam H Monahan and Julie Alexander and Andrew J Weaver,2008-4-29,rsta20080045,"['meridional overturning circulation', 'stochastic climate models', 'decadal- to centennial-scale variability', 'abrupt climate change', 'Dansgaard–Oeschger events']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0045,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0045?download=true,/doi/epdf/10.1098/rsta.2008.0045,The Royal SocietyLondon,"['meridional overturning circulation', 'stochastic climate models', 'decadal- to centennial-scale variability', 'abrupt climate change', 'Dansgaard–Oeschger events', 'climatology']",Stochastic models of the meridional overturning circulation time scales and patterns of variability
T.W.B Kibble and G.R Pickett,2008-6-5,rsta20080098,"['cosmic strings', 'branes', 'black holes', 'phase transitions', 'topological defects', 'superfluids']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0098,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0098?download=true,/doi/epdf/10.1098/rsta.2008.0098,The Royal SocietyLondon,"['cosmic strings', 'branes', 'black holes', 'phase transitions', 'topological defects', 'superfluids', 'cosmology']",Introduction. Cosmology meets condensed matter
Jos Spaan and Christina Kolyva and Jeroen van den Wijngaard and Rene ter Wee and Pepijn van Horssen and Jan Piek and Maria Siebes,2008-6-17,rsta20080075,"['coronary circulation', 'microcirculation', 'autoregulation', 'stenosis', 'waves', 'physiological indices']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0075,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0075?download=true,/doi/epdf/10.1098/rsta.2008.0075,The Royal SocietyLondon,"['coronary circulation', 'microcirculation', 'autoregulation', 'stenosis', 'waves', 'physiological indices', 'biomedical engineering']",Coronary structure and perfusion in health and disease
Erik Mosekilde and Peter A Tass,2008-7-16,rsta20080130,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0130,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0130?download=true,/doi/epdf/10.1098/rsta.2008.0130,The Royal SocietyLondon,['biophysics'],Preface
Francis Lévi and Atilla Altinok and Jean Clairambault and Albert Goldbeter,2008-12-28,10.1098/rsta.2008.3000,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.3000,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.3000?download=true,/doi/epdf/10.1098/rsta.2008.3000,The Royal Society,[''],"Correction for Lévi, Implications of circadian clocks for the rhythmic delivery of cancer therapeutics"
Marta Kwiatkowska,2008-7-31,rsta20080154,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0154,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0154?download=true,/doi/epdf/10.1098/rsta.2008.0154,The Royal SocietyLondon,"['software', 'theory of computing']",Introduction
Thomas A Henzinger,2008-7-31,rsta20080141,"['embedded software', 'reliable systems', 'design principles']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0141,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0141?download=true,/doi/epdf/10.1098/rsta.2008.0141,The Royal SocietyLondon,"['embedded software', 'reliable systems', 'design principles']",Two challenges in embedded systems design predictability and robustness
Tom Rodden,2008-8-4,rsta20080146,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0146,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0146?download=true,/doi/epdf/10.1098/rsta.2008.0146,The Royal SocietyLondon,[''],Living in a ubiquitous world
Robin Milner,2008-7-31,rsta20080121,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0121,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0121?download=true,/doi/epdf/10.1098/rsta.2008.0121,The Royal SocietyLondon,[''],Understanding ubiquitous computing
Jon Crowcroft,2008-7-31,rsta20080140,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0140,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0140?download=true,/doi/epdf/10.1098/rsta.2008.0140,The Royal SocietyLondon,[''],Engineering global ubiquitous systems
Ken Caldeira and Lowell Wood,2008-8-29,rsta20080132,"['climate engineering', 'geoengineering', 'climate', 'Arctic', 'albedo']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0132,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0132?download=true,/doi/epdf/10.1098/rsta.2008.0132,The Royal SocietyLondon,"['climate engineering', 'geoengineering', 'climate', 'Arctic', 'albedo', 'climatology']",Global and Arctic climate engineering numerical model studies
Stephen Salter and Graham Sortino and John Latham,2008-8-29,rsta20080136,"['global warming', 'Flettner rotor', 'Twomey effect', 'albedo control', 'cloud condensation nuclei', 'spray generation']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0136,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0136?download=true,/doi/epdf/10.1098/rsta.2008.0136,The Royal SocietyLondon,"['global warming', 'Flettner rotor', 'Twomey effect', 'albedo control', 'cloud condensation nuclei', 'spray generation', 'climatology']",Sea-going hardware for the cloud albedo method of reversing global warming
R.S Lampitt and E.P Achterberg and T.R Anderson and J.A Hughes and M.D Iglesias-Rodriguez and B.A Kelly-Gerreyn and M Lucas and E.E Popova and R Sanders and J.G Shepherd and D Smythe-Wright and A Yool,2008-8-29,rsta20080139,"['ocean fertilization', 'iron', 'nutrients', 'carbon sequestration']",EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2008.0139,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2008.0139?download=true,/doi/epdf/10.1098/rsta.2008.0139,The Royal SocietyLondon,"['ocean fertilization', 'iron', 'nutrients', 'carbon sequestration', 'oceanography']",Ocean fertilization a potential means of geoengineering
