No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,owing,644,0.36,51,191,5.14
2,matter,625,0.35,48,191,5.10
3,attention,324,0.18,24,191,5.05
4,that,28215,15.81,989,191,3.97
5,due,2251,1.26,75,191,3.89
6,point,2702,1.51,24,191,1.99
7,they,4776,2.68,42,191,1.97
8,this,18806,10.54,159,191,1.92
9,shown,2844,1.59,23,191,1.85
10,all,4768,2.67,37,191,1.79
11,in,79290,44.42,579,191,1.70
12,there,5777,3.24,41,191,1.66
13,some,4016,2.25,27,191,1.59
14,by,24405,13.67,146,191,1.42
15,only,4882,2.74,29,191,1.41
16,is,49994,28.01,233,191,1.06
17,no,6183,3.46,28,191,1.01
18,to,58649,32.86,260,191,0.98
19,has,7577,4.24,33,191,0.96
20,it,21670,12.14,92,191,0.92
21,are,21572,12.09,91,191,0.91
22,the,289645,162.27,1135,191,0.81
23,from,18946,10.61,73,191,0.78
24,as,24170,13.54,93,191,0.78
25,not,10920,6.12,42,191,0.78
26,was,13200,7.39,48,191,0.70
27,have,9622,5.39,34,191,0.66
28,two,7077,3.96,25,191,0.66
29,been,7456,4.18,26,191,0.64
30,is,49994,28.01,174,191,0.64
31,we,10210,5.72,35,191,0.61
32,be,24004,13.45,77,191,0.52
33,these,8218,4.60,26,191,0.50
34,it,21670,12.14,64,191,0.40
35,the,289645,162.27,816,191,0.33
36,with,19812,11.10,54,191,0.28
37,which,19929,11.16,54,191,0.27
38,but,9371,5.25,25,191,0.25
39,we,10210,5.72,26,191,0.18
40,not,10920,6.12,27,191,0.14
41,are,21572,12.09,53,191,0.13
42,was,13200,7.39,32,191,0.11
43,a,67293,37.70,159,191,0.08
44,for,19305,10.82,44,191,0.02
45,in,79290,44.42,180,191,0.02
46,and,70911,39.73,159,191,0.00
47,this,18806,10.54,41,191,-0.04
48,with,19812,11.10,43,191,-0.05
49,be,24004,13.45,52,191,-0.05
50,for,19305,10.82,41,191,-0.08
51,a,67293,37.70,114,191,-0.40
52,to,58649,32.86,92,191,-0.51
53,of,155479,87.10,238,191,-0.55
54,of,155479,87.10,231,191,-0.59
55,by,24405,13.67,34,191,-0.69
56,on,21797,12.21,30,191,-0.70
57,as,24170,13.54,33,191,-0.71
58,from,18946,10.61,25,191,-0.76
59,on,21797,12.21,25,191,-0.97
60,and,70911,39.73,43,191,-1.89
