No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,141,0.04,12,296,6.26
2,general,821,0.23,9,296,3.30
3,this,7480,2.08,42,296,2.34
4,that,11545,3.21,64,296,2.32
5,is,12197,3.39,52,296,1.94
6,in,26300,7.31,88,296,1.59
7,but,3942,1.10,12,296,1.45
8,it,10745,2.99,30,296,1.33
9,is,12197,3.39,31,296,1.19
10,which,10089,2.81,24,296,1.10
11,i,7418,2.06,17,296,1.04
12,a,21667,6.03,49,296,1.02
13,from,7951,2.21,15,296,0.76
14,by,11241,3.13,19,296,0.60
15,a,21667,6.03,33,296,0.45
16,in,26300,7.31,39,296,0.41
17,be,10135,2.82,15,296,0.41
18,the,106788,29.70,158,296,0.41
19,as,8331,2.32,12,296,0.37
20,of,63951,17.78,85,296,0.26
21,as,8331,2.32,11,296,0.25
22,with,7605,2.11,10,296,0.24
23,was,7110,1.98,9,296,0.19
24,this,7480,2.08,9,296,0.11
25,by,11241,3.13,13,296,0.06
26,the,106788,29.70,118,296,-0.01
27,be,10135,2.82,11,296,-0.04
28,that,11545,3.21,12,296,-0.10
29,it,10745,2.99,11,296,-0.12
30,from,7951,2.21,8,296,-0.14
31,and,27164,7.55,26,296,-0.22
32,to,25349,7.05,24,296,-0.23
33,of,63951,17.78,56,296,-0.35
34,to,25349,7.05,22,296,-0.36
35,which,10089,2.81,8,296,-0.49
36,and,27164,7.55,20,296,-0.60
