No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,owing,644,0.36,51,141,5.14
2,matter,625,0.35,48,139,5.10
3,attention,324,0.18,24,108,5.05
4,that,28215,15.81,989,190,3.97
5,due,2251,1.26,75,179,3.89
6,point,2702,1.51,24,181,1.99
7,they,4776,2.68,42,188,1.97
8,this,18806,10.54,159,190,1.92
9,shown,2844,1.59,23,185,1.85
10,all,4768,2.67,37,189,1.79
11,in,79290,44.42,579,190,1.70
12,there,5777,3.24,41,188,1.66
13,some,4016,2.25,27,189,1.59
14,by,24405,13.67,146,190,1.42
15,only,4882,2.74,29,190,1.41
16,is,49994,28.01,233,190,1.06
17,no,6183,3.46,28,189,1.01
18,to,58649,32.86,260,190,0.98
19,has,7577,4.24,33,189,0.96
20,it,21670,12.14,92,190,0.92
21,are,21572,12.09,91,189,0.91
22,very,5260,2.95,21,187,0.83
23,the,289645,162.27,1135,190,0.81
24,from,18946,10.61,73,190,0.78
25,as,24170,13.54,93,190,0.78
26,not,10920,6.12,42,190,0.78
27,was,13200,7.39,48,187,0.70
28,have,9622,5.39,34,189,0.66
29,two,7077,3.96,25,189,0.66
30,been,7456,4.18,26,189,0.64
31,is,49994,28.01,174,190,0.64
32,we,10210,5.72,35,183,0.61
33,be,24004,13.45,77,190,0.52
34,these,8218,4.60,26,189,0.50
35,may,7097,3.98,21,188,0.40
36,it,21670,12.14,64,190,0.40
37,the,289645,162.27,816,190,0.33
38,with,19812,11.10,54,189,0.28
39,which,19929,11.16,54,189,0.27
40,but,9371,5.25,25,190,0.25
41,we,10210,5.72,26,183,0.18
42,not,10920,6.12,27,190,0.14
43,are,21572,12.09,53,189,0.13
44,was,13200,7.39,32,187,0.11
45,a,67293,37.70,159,190,0.08
46,for,19305,10.82,44,190,0.02
47,in,79290,44.42,180,190,0.02
48,and,70911,39.73,159,190,0.00
49,this,18806,10.54,41,190,-0.04
50,with,19812,11.10,43,189,-0.05
51,be,24004,13.45,52,190,-0.05
52,for,19305,10.82,41,190,-0.08
53,a,67293,37.70,114,190,-0.40
54,to,58649,32.86,92,190,-0.51
55,of,155479,87.10,238,190,-0.55
56,of,155479,87.10,231,190,-0.59
57,by,24405,13.67,34,190,-0.69
58,on,21797,12.21,30,190,-0.70
59,as,24170,13.54,33,190,-0.71
60,from,18946,10.61,25,190,-0.76
61,on,21797,12.21,25,190,-0.97
62,and,70911,39.73,43,190,-1.89
