No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,27183,12.92,345,295,2.74
2,this,16126,7.67,176,294,2.52
3,in,74868,35.59,635,299,2.16
4,being,5896,2.80,32,282,1.51
5,is,37663,17.90,199,295,1.47
6,has,5485,2.61,25,279,1.26
7,if,6091,2.90,26,275,1.17
8,we,9370,4.45,39,249,1.13
9,is,37663,17.90,155,295,1.11
10,all,4931,2.34,20,275,1.09
11,no,6469,3.08,24,276,0.96
12,being,5896,2.80,21,282,0.91
13,been,6696,3.18,23,280,0.85
14,they,6000,2.85,20,272,0.81
15,not,10262,4.88,34,293,0.80
16,which,26333,12.52,82,295,0.71
17,it,23824,11.33,71,294,0.65
18,from,19135,9.10,55,295,0.60
19,these,8430,4.01,24,281,0.58
20,but,9973,4.74,28,291,0.56
21,when,7244,3.44,20,274,0.54
22,by,26959,12.82,74,299,0.53
23,i,12728,6.05,34,284,0.49
24,may,8053,3.83,21,286,0.46
25,it,23824,11.33,62,294,0.45
26,by,26959,12.82,65,299,0.34
27,the,288950,137.36,693,300,0.33
28,was,14517,6.90,32,279,0.21
29,a,57723,27.44,126,296,0.20
30,have,11144,5.30,24,291,0.18
31,have,11144,5.30,24,291,0.18
32,of,178385,84.80,373,300,0.14
33,to,61293,29.14,127,298,0.12
34,an,10145,4.82,21,289,0.12
35,was,14517,6.90,30,279,0.12
36,a,57723,27.44,119,296,0.12
37,to,61293,29.14,126,298,0.11
38,the,288950,137.36,580,300,0.08
39,for,14523,6.90,29,300,0.07
40,be,25591,12.17,51,295,0.07
41,an,10145,4.82,20,289,0.05
42,this,16126,7.67,31,294,0.02
43,at,18848,8.96,36,297,0.01
44,as,24080,11.45,45,295,-0.03
45,in,74868,35.59,138,299,-0.04
46,are,16759,7.97,30,292,-0.09
47,that,27183,12.92,48,295,-0.11
48,with,21392,10.17,37,297,-0.14
49,which,26333,12.52,45,295,-0.15
50,be,25591,12.17,43,295,-0.18
51,and,74455,35.39,125,300,-0.18
52,are,16759,7.97,28,292,-0.19
53,i,12728,6.05,21,284,-0.20
54,as,24080,11.45,38,295,-0.27
55,with,21392,10.17,30,297,-0.44
56,of,178385,84.80,179,300,-0.92
57,and,74455,35.39,48,300,-1.56
